Name,Latitude,Longitude,Elevation
Subway,39,119,1379
Wasting Arrows,39,119,1345
Best Plumbing & Heating,39,119,1349
A A Berlin Glass & Mirror Co,39,74,48
Picasso & Wine,39,119,1394
Subway,32,111,731
High Point Cleaners,40,75,155
Vista Auto Group,40,75,31
Hidden History Tours,29,90,35
Oceanos Restaurant,39,74,60
Malvern Grooms,40,75,166
The Groomin Room,40,75,27
Manzanita Gate Apartments,39,119,1582
Faculty Club,53,113,668
Raudel's Tile & Granite,39,119,1343
Dunkin',28,82,30
Ashley HomeStore,27,82,31
The Animas Center,32,110,775
Big Dave's Towing & Roadside Service,32,110,779
University of Arizona Campus Recreation Center,32,110,737
Mini U Storage,39,75,108
InJoy Thrift Stores,32,110,786
Rusted Chandelier,38,90,201
Steam Smart Pro,32,111,670
B & A Archery,40,75,9
Wild West Courier,32,111,709
Ardmore Park Beverage,39,75,86
Pick-n-Pull,39,119,1338
Brentwood Day Spa,36,86,222
My Vintage Addiction,38,89,165
Nectar Urban Cantina,36,86,158
Rice Bowl Deluxe,53,113,669
Alfredo's Pizza,39,75,117
The TOCO Shop,38,89,156
Versi Vino,39,74,14
Double Eagle Golf at Snipes Farm,40,74,20
Ashley HomeStore,38,89,171
Pizzarella Grille,40,75,125
Famous Donair,53,113,716
Bamboo Oriental Cuisine,36,86,190
University Pet Clinic,32,110,748
Radiology Limited,32,111,701
Red Roof Inn & Suites Mt Holly - McGuire AFB,40,74,23
Cake & Flower Shoppe,39,119,1382
Bamboo House of Noodle Soups,39,75,126
Ooka Restaurant,40,75,79
Saint Alphonsus Meridian Health Plaza,43,116,782
Concord Steaks,39,75,123
Tangerine Aveda Salon Spa,39,119,1406
Moe's Southwest Grill,36,86,218
Medium Rare Carnivore Club,53,113,699
La Tavola Ristorante Italiano,35,86,171
The Night Owl,36,86,163
Papa Murphy's,43,116,832
Courtyard by Marriott Reno,39,119,1363
Taco Bell,38,90,124
Staybridge Suites - Franklin,35,86,219
Harrison Dental,43,116,831
Gregory G's Restoration,40,74,72
Kenny Bob's Bar-B-Que,36,86,252
Pizza Hut,30,89,7
Clear View Vision Care,32,110,751
Pima County Adult Detention Complex,32,110,723
Michigan Road Branch Library,39,86,243
Ability Center,32,111,694
Canal Square,39,86,216
"Lang Kenneth, DDS MSD",39,119,1569
Cabana Boy Pool Works,32,111,751
Wyndham New Orleans - French Quarter,29,90,30
Crab & Claw,40,75,99
Bluebird Roofing,36,86,169
Sycamore Salon- The Organic Option,40,74,100
Romano's Macaroni Grill,43,116,821
Alexander's Restaurant & Lounge,38,90,198
Casa Honduras,30,89,2
Hot Stuff Spicy Chicken and Fish,36,86,173
Skin & Beyond Day Spa,35,86,234
Spotlight Home Inspection,40,75,159
Quiznos,39,119,1386
Sun Tan City,35,86,211
JB Custom Tailoring,36,86,176
Academy Sports + Outdoors,36,86,200
A Stone's Throw,39,86,270
Gentle Dental Reno Northwest,39,119,1505
Dunkin',39,75,100
Pizza Hut,43,116,781
Bella Linea,36,86,175
Suelke's Road Stand,40,75,167
Starbucks,40,75,109
Sidelines Grill,36,87,120
Valentine's Restaurant,38,89,157
China Garden Restaurant,40,75,132
Hampton Inn Philadelphia/Great Valley/Malvern,40,75,133
Baird's Dry Cleaners,43,116,836
Rosa Pizza,40,74,30
Macy's,35,86,221
The Security Guy,40,74,57
AZAR Automotive,38,90,179
Westside Chiropractic,39,119,1373
Rejuvepod,39,75,76
Raley's,39,119,1342
Panda Express,32,110,755
CVS Pharmacy,39,75,55
CVS Pharmacy,39,75,82
Burger King,39,74,33
Jellybean Jungle,39,74,31
Mike's Breakfast,40,75,53
Penske Truck Rental,39,119,1346
4 Hands Brewing,38,90,136
Tahoe Meadows,39,119,2601
Ruggieri's Pizza and More,39,119,1396
Roundabout Market And Bistro,39,119,1563
Planned Parenthood - South Grand Health Center,38,90,172
Pediatric Dental Care,35,86,227
Fort Edmonton Park,53,113,628
Taylor Tack & Feed,32,110,847
Dunkin',40,74,7
Squeegee Express Window Cleaning,32,110,756
Marathon Music Works,36,86,138
Smyrna Cafe,35,86,172
Ashley HomeStore,39,75,119
Tokyo Imports,32,110,714
Petals Flowers & Fine Gifts,39,75,89
Preston Art Glass Studio,38,90,142
Applegate Wood Floors,40,74,61
"Hampton Inn Indianapolis NW/Zionsville, IN",39,86,283
Supremos,40,74,12
Manny's Sicilia Pizza,40,75,10
Mexico Tipico,38,89,136
Better Bodies,32,110,768
"La Posada Lodge & Casitas, Ascend Hotel Collection",32,110,738
Sos Exterminating,32,110,800
Aeris Family Dental,32,110,909
Yarrow Acres,35,86,199
Auto World,36,86,152
Panera Bread,43,116,797
Sansum Clinic Obstetrics & Gynecology,34,119,43
Boston Pizza,53,113,717
Domino's Pizza,38,90,182
Martin Glass Company,38,89,144
Dunkin',36,86,201
Super Fresh,39,75,98
Perkasie PC Repair & Recycling,40,75,148
Anytime Fitness,32,110,777
Frost Gelato,32,110,771
Pomme Cafe & Wine Bar,38,90,193
Pizza Hut,39,85,263
The Green Solution,38,90,122
SRT Attorneys,38,90,195
Pinnacle Heights by Scotia Group,32,110,852
Daily Local News,39,75,121
Amy & Barber Beauty Salon,32,110,822
Dustie Wagens,34,119,15
Bridge Street Soap by Alyese Marie,40,74,44
Sobeys,53,113,650
Johnson Lock & Key,35,86,203
U.S. Bank Branch,38,89,179
Steak N' Shake,39,86,203
Parts Guru,40,75,111
Sushi Minato,39,119,1357
Smoothie King,39,75,135
Gyro Shack,43,116,803
Applebee's Grill + Bar,39,74,56
Cool Springs Internal Medicine & Pediatrics,35,86,231
Marco Polo's Pizza,36,86,123
Brummis - the German Taste,34,119,73
A Step Above Cleaning Services,39,75,134
Balloon Lady,32,110,812
Eleven Caf膿,32,110,744
Hy-Ho Cafe,38,89,145
Best Western Brentwood,36,86,220
La Spezia Italian Cafe,36,86,204
Blair's Florist,39,75,40
Allstar Boat Care,39,119,1392
Yori's Church Street Bakery,39,75,146
Oriental Nails,39,75,130
Island Treat,40,74,5
Bank of America Financial Center,39,119,1472
A Tree Company,43,116,853
Battle Born Food Truck,39,119,1387
Valley Glass - Boise,43,116,817
Boise Hillside Suites,43,116,848
Walgreens,32,111,781
Forever Awnings,39,119,1416
Whole Body Yoga Studio,40,75,115
Philly Dat Up,30,90,6
The Paw Palace,32,111,679
Boise Auto Repair Mobile Tech Auto Repair,43,116,846
Rusty Nail Tavern,32,110,698
Paws Discovery Farm,39,74,12
Appliance Rescue PA,40,74,40
Electronic Express,35,86,216
Leslie's,39,74,25
Michaels,53,113,653
Murphy's Pet Parlor,28,82,37
Beyond Brick,32,111,684
University Villas at Ironwood by Shelton Residential,32,111,712
Angela鈥檚 Cleaning Services,35,86,228
ALDI,27,82,46
Wolf Run Park,39,85,250
Hilton El Conquistador,32,110,795
The Wash Factory,39,75,111
Heaven Nails & Spa,28,82,29
Surf Thru Express Car Wash,32,110,915
Fries Rebellion,40,75,172
Factory Donuts,40,74,65
Imagine Weddings & Special Events,34,119,48
Harkins Theatres  Tucson Spectrum 18,32,110,747
Gentle Touch Car Wash,39,75,122
Castor Dental Care,40,75,39
Porterhouse,43,116,780
Stabiles Mobile,34,119,12
Sound Stone Massage Spa,38,90,189
Sushi Nara,32,110,824
Superstitions Java,39,119,1568
Tucson Expo Center,32,110,794
Target,39,75,128
B & C Roadside Service,40,74,13
Restoration Rods,43,116,794
Wendy's,32,111,729
Pump It Up - Tucson,32,111,691
Purple Heart Park: Ivan's Spot,32,110,902
Long Hollow Pizza and Pub,36,86,143
El Pollo Loco,39,119,1479
Cold Stone Creamery,40,74,59
AJ's Fine Foods,32,110,828
Perennial Artisan Ales,38,90,134
Mrs Marty's Deli,39,75,103
Idaho Youth Ranch Outlet Store,43,116,827
Sally Starr's Pizza,39,74,42
T-Mobile,39,75,58
The Bodacious Bean,43,116,810
Tomasito's,29,90,12
The Learning Experience - West Chester,39,75,138
Borders Books Music & Cafe,39,75,72
Go Green Lawn and Pest Control,39,75,155
Pizza 73,53,113,651
Bill Mullen Electric,40,75,168
My First Image,32,110,757
LBS Drywall Finishing,39,75,104
Los Potrillos,40,75,25
Casas Adobes Oral & Maxillofacial Surgery,32,111,715
"Shawa Joseph, DMD - Dental Care Center",39,119,1578
Honey Baked Ham Company,32,110,774
IdentoGO,40,74,41
Elings Park,34,119,76
Purls Tucson,32,110,788
Metro Moving,53,113,715
Boulder Falls Miniature Golf,39,75,166
California Roots Salon and Spa,35,86,225
Kenyon & Associates,39,119,1378
The Lost Cajun - Mt Juliet,36,86,193
Gaslight Theatre,32,110,799
"The Foot Whisperer, Inc",43,116,783
Quinn's Restaurant & Lounge,43,116,843
Vera Kong Piano Studio,34,119,27
Brand New Tattoo & Gallery,40,74,43
Premier Electricians,39,75,66
Lou Fusz Kia,38,90,217
Elite Beverages,39,85,258
Verus Healthcare,35,86,223
Wawa,39,75,64
Romaine's,34,119,22
Pet Memorial Services,39,75,137
CVS Pharmacy,40,75,15
Edmonton South Animal Hospital & Spay and Neuter Centre,53,113,677
Stella Maris Restaurant & Hookah Lounge,29,89,3
O'Reilly Auto Parts,39,119,1381
Hair by Design,36,86,144
Brother Paul's,40,75,137
Bartlette Electric,34,119,124
Station 52 Sports Bar & Pizzeria,39,75,106
Dairy Queen Grill & Chill,36,86,229
The Pest Professionals,39,75,54
Snap Fitness-Clayton,38,90,183
Summit Funding,39,119,1403
Jerry Bob's,32,111,654
Croach Pest Control,43,116,770
Growler's Taphouse,32,111,647
Cheesy Rider,32,111,734
"Dizzy Dugout Cards, Comics & Games",38,89,175
The Great American Bagel,27,82,36
MatchDog Rescue,39,74,26
Music City Tents,36,86,136
Presto Pasta,34,119,11
Aroma Grill and Bar,40,74,31
National Car Rental,43,116,871
Kinsmen Sports Centre,53,113,624
Happy Ending Food Truck,27,82,40
Foggy Bottom Canoe Rocks,36,87,167
Pizza Hut,35,86,166
Monty's,34,119,20
Santa Barbara Frame Shop & Gallery,34,119,38
Midas,36,86,147
Clara B's Kitchen Table,38,89,154
Redbud Native Plant Nursery,39,75,101
Sherwood Park Chevrolet,53,113,691
Alpen Glow Marble & Stone Care,39,119,1865
Golden Corral Buffet & Grill,38,89,163
Tennessee Radon Services,36,86,137
Santa Barbara Jet Boats,34,119,1
Land of Smile,38,90,214
Meineke Car Care Center,40,75,174
Cool Springs Laser Dentistry,35,86,217
"Terance Cochran, OD-Cochrane Family Eyecare",39,119,1426
Commonwealth Kitchen,40,75,28
Teresa's Nails,39,75,41
Santa Barbara Cryotherapy,34,119,37
M & K Renovations,40,75,175
The Spa at Montchanin Village,39,75,96
Climate Pro,35,86,245
Bank of America Financial Center,32,111,653
Dunkin',39,75,91
Service King Collision Nolensville Pike,36,86,207
Danny Boy Beer Works,39,86,275
In Riva,40,75,2
Rice King,39,86,268
Oxford Valley Shell,40,74,62
Parkway Pizza,40,74,11
Aldi,38,89,160
Roy Rogers,40,75,171
Best Auto Tags and Insurance,40,75,160
Asian Star,40,75,23
Madewell,30,90,9
Pizzeria Maki,39,75,78
Siam Thai Restaurant,43,116,835
Fresh Start Carpet Cleaning,40,74,15
Bimmerworks,39,75,124
Logan's Roadhouse,36,86,189
Pro-Cuts,32,111,697
JD Nail & Spa,53,113,652
Subway,53,113,659
Rebeccas Floral Boutique,35,86,244
Curtis Lanes,40,74,46
Taco Bell,39,86,217
Helping Hands Thrift Store,28,82,44
CrossFit NorthWest Tucson,32,111,675
Aquious Tankless Solutions,39,119,1498
Sahara Sam's Water Park,39,74,53
Garage Door Repair Of Tucson,32,110,886
"Michael W Thompson, DDS",34,119,56
Shoney's Restaurant,35,86,222
"Michelle M Eagan, MD",30,90,10
Flavor of India,38,90,205
Screamin Demon Tattoo,38,89,180
Taco Bell,38,89,172
Life Vessel Santa Barbara,34,119,75
Caf茅 at The Square,29,90,37
Golden Corral Buffet & Grill,39,85,252
Black Tie Moving,36,86,203
Tangles Doggie Doos Pet Grooming,40,74,24
QDOBA Mexican Eats,39,86,215
The NY Slice,39,86,240
Bagel Bin of Voorhees,39,74,41
Peggs Restaurant On the Boulevard,38,90,277
Flocco's Discount Shoes Clothes & Formal Wear,40,75,43
Epic Nails and Spa,39,86,276
Other Mothers,43,116,814
SpinNations Skating Center,28,82,4
Bing's Boba Tea,32,111,719
Nashville Symphony,36,86,128
Aroy Thai,38,89,167
Ewing Animal Hospital,43,116,815
Gem State Diesel & Turbo Repair,43,116,793
GIANT Food Store,39,75,79
Son Seafood,29,89,2
Taqueria El Sol,27,82,35
Deterding's Family Market,39,74,28
Strong Vision Center,27,82,50
Daniel Tavares Academy,39,75,57
Paris Baguette,40,75,69
JCPenney,40,74,64
Dong's China Buffet,39,86,206
Bartlein & Co,34,119,65
Speedway,32,110,903
Terraza Cafe,34,119,70
The Brentwood Library,35,86,209
Tobey's Junk Hauling,39,119,1557
925 Common Luxury Apartments,29,90,40
Punk'd Pineapple,39,75,116
Taco Bell,31,110,878
Catalina Laundry,32,110,954
ACME Markets,40,74,26
AMC Washington Square 12,39,85,261
David E Callahan Pool Plastering,39,75,145
Massage Envy - Olivette,38,90,215
Financial Credit Network,34,119,45
Great American Playhouse,32,110,866
Borders Books Music & Cafe,36,86,211
Pet Valu,39,75,107
Steak 鈥檔 Shake,35,86,168
Country Rock Cabaret,38,90,127
Bridge Street Alterations,39,86,208
Casas Adobes Optical,32,110,770
Little Caesars Pizza,32,110,728
Casino Del Sol,32,111,770
Daydreams Gentlemen's Club,40,75,7
Insomnia Cookies,39,75,142
Drexel Interiors,39,86,264
Dickey's BBQ Pit South,39,119,1397
Petco,32,110,707
Virtua Family Medicine Center At Lumberton,39,74,7
Welch Music Center,43,116,805
B.U.N.S.,34,119,21
Mi Tenampa,39,85,262
A Garden of Yarn,39,75,112
Meijer,39,86,282
Colors Painting Contractor,31,110,829
Northwest Reno Library,39,119,1544
MICHAEL & ANNA COSTA PHOTOGRAPHY,34,119,34
Tremblay Financial Services,34,119,63
Stay Alfred on North Carondelet Street,29,90,16
NextCare Urgent Care,32,110,842
Roto-Rooter Plumbing & Water Cleanup,40,75,18
Athenian Restaurant,40,75,19
Sugar Roots Farm,29,89,7
QDOBA Mexican Eats,39,75,71
Boise Drywall Pro's,43,116,823
Preserve at Brentwood,36,86,180
Ed's Beer & Beverage Mart,39,75,50
Pedego Electric Bikes Reno,39,119,1407
Aveda Institute Boise,43,116,812
Chase Bank,34,119,77
Sisters' Nails and Spa,39,86,286
Namaste Nail  Sanctuary,40,74,67
Immanuel Presbyterian Church,32,110,837
Tokyo Express,53,113,692
Urban Statement,34,119,46
390th Memorial Museum,32,110,825
Pa Pa Pralines,29,90,2
Simon Eye - Concord Pike,39,75,114
Swigg,39,75,92
CV Nails,39,86,257
Gadaleto's Seafood Markets,39,75,113
Montecito Optometry,34,119,35
HELI CO. New Orleans,30,90,8
Santa Barbara County Sleep Shoppes and Design Center,34,119,67
Island View Nursery,34,119,24
Stan Perkoski's Home Services,39,75,105
Banner Urgent Care,32,110,776
Moondog Yoga Studio,40,75,156
A-1  Heating & Air Conditioning & Electric,43,116,789
For Eyes,40,75,147
Lion Coat Painting,32,111,671
McDonald's,31,110,860
Wicked Smoke Bar B Que,38,90,212
Victoria's Nail Salon,39,74,32
Penn Medicine Becker ENT & Allergy,39,74,46
Melt Down Grilled Cheese,40,75,131
Wild Birds Unlimited,35,86,197
"""No Macarena"" DJ & Custom Music Service",40,75,121
Joey C's Towing and Collision,39,75,2
Makoto Japanese Steakhouse,36,86,247
Alligood Energy,40,74,86
Jimmy John's,27,82,47
eegee's,32,110,784
CVS Pharmacy,35,86,232
Able Garage Door Service,32,111,768
Cava Restaurant & Bar,34,119,33
Vertex Pest Control,43,116,795
Boise Indoor Soccer,43,116,806
Birchtree Catering,40,75,11
Dominick's Pizzeria and Restaurant,40,75,179
Sabroso Cocina Mexicana,38,90,191
IN Self Storage - Tucson,32,111,674
Wood Bakery,38,89,170
El Sur Restaurant,32,110,781
Peg's Glorified Ham & Eggs,39,119,1552
Lonchos Street Tacos & Spirits,32,110,912
Yoga Pod Tucson,32,110,716
Riverflow Yoga,40,74,28
Sbarro Italian Eatery,32,111,649
Lulu's Pizza,43,116,841
Angel Motors,35,86,163
Hyatt Place Nashville/Brentwood,36,86,258
Hampton Inn & Suites Franklin Berry Farms,35,86,210
La-Z-Boy Furniture Galleries,40,75,110
Trav's Barber Shop,40,75,141
Abel's Authentic Mexican Cuisine,39,119,1469
Valley Garden Park,39,75,102
99 Cents Only Stores,31,110,856
Rod The Roofer,39,119,1462
Publix Super Markets,35,86,187
David Anthony's,38,89,141
Jake's Pub,39,86,213
Super China Buffet,39,85,253
The Cakehole,39,85,256
McKay's Mill Dental,35,86,251
La Paloma Country Club,32,110,832
Sierra Safari Zoo,39,119,1572
Anytime Fitness,32,110,838
Desert Valley Dental,39,119,1546
Feisty Studios Salon & Spa,32,111,652
Earls Kitchen + Bar,53,113,722
Luna,38,89,162
Happenchance Social Lounge,35,86,198
The Club,36,86,208
Sandy's West RV Center,32,110,702
Tucson's Loop Bicycle Shop,32,111,681
ampm,39,119,1473
Wendy's,36,86,188
Our Lady of Mount Carmel Church,34,119,80
Moxie's Spirits & Dining,39,119,1491
Captain D's,38,89,158
Eclipse Pizza Co.,39,119,1405
Parker's Heating & Cooling,35,86,164
Dollar Tree,39,119,1570
Jay Bee's Diner,53,113,655
Lake Park,39,119,1425
Coliseum Pizza & Steak,53,113,660
His Concepts Sprinklers,43,116,824
Reflections at the Buttes,32,110,808
Cutting Edge Paint And Finish,39,119,1440
Goshen Beverage Center,39,75,139
McDonald's,32,111,683
US Post Office,40,75,114
Mission Tuxedos,34,119,42
Tucson Dog Trainers,32,110,718
Innate Fitness,34,119,55
Tucson Trap & Skeet Club,32,111,738
Woodward Properties,39,75,59
Vitality Acupuncture,43,116,788
Quik Mart,32,110,983
Mint Julep Experiences - Nashville,36,86,127
Joe's Steaks + Soda Shop,40,75,13
Vans,39,119,1340
Target,32,110,851
Bullard Seafood and Grill,30,89,3
Benjamin Franklin Bridge,39,75,0
Tee It Up Golf,39,75,110
Rally's,38,90,209
Westside Pizza,43,116,837
Monkey Fish Toys,40,75,151
Paint + Canvas,36,86,209
Freedom Mortgage,39,74,13
Pedalers Deli,39,119,1415
Lil Swimmers Aquatics,27,82,1
Fulin's Asian Cuisine,36,86,198
Pima Community College-West Campus,32,111,740
Short Hills Restaurant & Deli,39,74,34
Academy Sports + Outdoors,35,86,212
Gentleman Jacks Barber Lounge,32,110,963
Keeping It Green Lawn Services,39,119,1499
Kodiak Grill,43,116,1166
Heaven's Best Carpet Cleaning Lake Tahoe,39,120,1817
Cherie Cunningham -Berkshire Hathaway HomeServices,36,86,215
Walgreens,31,110,859
Dolphin Diner,40,74,6
Maverick Car Company,43,116,802
Chirco Performance & Restoration,32,110,833
Iggy's Mexican Cantina,38,90,135
Kopper Kitchen,43,116,866
Sonny's BBQ,28,82,40
White House Black Market,39,119,1408
Orange Grove Family Practice,32,111,714
Best Buy,53,113,654
Rod's Auto Repair,43,116,808
Foysters Dockside BYOB,40,74,2
The Smile Shop,39,119,1520
Four Seasons Spa and Pool,43,116,779
Wild Sports Motorsports,39,119,1431
ProCore Property Solutions,43,116,790
Bobeck's Sports Bar & Grill,38,90,213
Aqua-Tots Swim Schools - Eagle,43,116,787
PetSmart,39,74,52
Andale Latino Grill,40,74,63
Beje Wholesale Diamonds,30,90,7
Computer Room,38,89,184
St Roch Kitchen,30,89,5
Cayton's Burger Bistro,32,111,816
The Burger Joint,53,113,683
Audrey Harris Park,39,119,1411
Dolan's Irish Pub,40,74,1
Pei Wei,39,74,10
KFC,36,87,219
CareNow,36,86,221
Cold Spring Tavern,34,119,518
Encantada Riverside Crossing,32,111,690
CVS Pharmacy,40,75,157
Aladdin Graphics On Apparel,32,111,698
Darin Chiropractic,38,90,126
Officemax,32,111,680
Instant Smog,39,119,1471
Blackett's Ridge,32,110,1292
Green Valley Mortuary And Cemetery,31,110,886
All Seasons Lawn & Landscaping,39,119,1417
Sugar Creek Golf Course,38,90,219
Sparkle Window Cleaning Service,32,111,641
Length,39,75,1
Nat'l Authorized Service,40,75,12
Hillmeade Apartment Homes,36,86,240
Brewington's Towing & Recovery,28,82,46
MERS Goodwill,38,89,178
Frank's Spaghetti House,40,75,33
Lone Dawg Cafe,39,74,54
Jimmy John's,39,85,257
Davidson & Son,40,74,4
The Fitness Edge,38,90,207
Morellis Cleaners,39,85,234
Papa Murphy's,32,111,748
Dynasty Nails,39,75,140
Great Clips,32,111,645
Ironwood Dermatology,32,110,836
CVS Pharmacy,32,110,830
Luring Lashes,40,75,138
Arizona's Interior Innovations,32,111,695
Desert Dental Group,32,110,914
Ashton Brook by The Connor Group,35,86,226
ACME Markets,39,75,83
US Post Office,39,119,1452
Alexa Beauty and Barber,31,110,882
Q's Quik Smog,39,119,1419
World Sports Grille,32,111,724
Amerisleep - Tucson,32,110,834
Synergy Real Estate Group,36,86,236
Smokey Pint,40,75,3
Canadian Tire - Sherwood Park,53,113,712
Pineapple Asian Restaurant,39,74,51
House of Stella,35,86,224
Song David I DPM,35,86,239
Subway,36,87,224
Rancho La Patera & Stow House,34,119,25
Santa Barbara Sherriff's Department,34,119,57
Riverview Restaurant & Marina,36,87,125
Anytime Locksmith,39,119,1427
DeeGusto's,39,86,211
Colonial Family Eyecare,40,75,66
Grounds 4 Inspiration,36,86,206
"Allergy, Asthma & Immunology Center",38,89,199
PODS Moving & Storage,43,116,915
Bucks County Family Eye Care,40,74,49
Finger Rock Trail,32,110,933
Century Eye Care,40,74,58
Reno Rescreen,39,119,1868
Fleet Heating & Air Conditioning,39,119,1339
Manhattan Bagel,39,75,118
Saga Toys,38,90,184
Sleep Apnea & TMJ Solutions,36,86,213
BRAKEmax,32,111,702
Reno Tahoe Concrete,39,119,1576
Kirshner Landscapes,40,74,104
"Leslie P Dillard, DDS",36,86,205
AFC Urgent Care - Williamstown,39,74,44
Pinocchio's Restaurant,39,75,84
Tonys Mexican Restaurant,29,89,6
Port of Subs,39,120,1527
Hey Guys Comedy Club,38,89,181
Alterations by Tam,32,110,699
Earls Kitchen + Bar,53,113,657
Turquesa Latin Grill,32,111,865
Brothers Carpet-Busters,32,110,805
Pomps Tire Service,39,86,210
Uncle Mike's Smokehouse Grill,27,82,41
Munoz Cleaning Service,39,119,1459
Walmart Pharmacy,39,119,1490
Players Pub,32,110,952
Live Skin,36,86,217
Farm Fresh Produce,39,75,75
Starbucks,39,75,97
Neuhaus Foot & Ankle,35,86,173
Logan's Roadhouse,35,86,182
The Pasta House Co,38,90,210
Chicago Connection - Overland,43,116,842
Hot Dog Grooming & Spa,27,82,33
Table Rock,43,116,968
Garbonzo's Pizza,43,116,786
Doc's Pool Tile Cleaning,32,110,918
The WorkHorse,40,75,22
Safeway,32,110,887
Royal Cleaning Solutions,39,119,1488
Scream-A-Geddon,28,82,54
Tony鈥檚 Mexican Restaurant,36,86,199
CJ's Grille,36,86,256
McDonald's,32,111,785
Sunrise Cafe,32,110,848
Yogi's Doody Scoopers,39,119,1938
Gary Ray's Texas BBQ,32,110,897
Napoli Pizza & Subs,30,89,4
Affordable Hardwood Floors,34,119,51
Tokyo Sushi,39,75,3
Military Reserve,43,116,900
DeGrazia Gallery in the Sun Museum,32,110,861
First Service Group Real Estate & Property Management,43,116,813
Main and Vine Bistro,40,75,139
Varietees Bird Store,38,90,120
Amish Country Market At The Feed Mill,35,86,189
Mt Rose Ski Tahoe,39,119,2503
Bon Appetit Restaurant,28,82,0
Santa Barbara Women's Imaging Center,34,119,49
Integrity Automotive & Diesel,32,111,676
Color Nails,35,86,235
Los Mezquites,32,111,755
First Class Sales and Service,35,86,165
Taco Torro Food Truck,39,119,1573
MidAmerica St Louis Airport,38,89,138
River Cree Resort and Casino,53,113,701
Heart And Home,39,75,80
Bottoms Up,38,90,123
Parcel Insurance Plan,38,90,221
Victoria's Secret,28,82,36
Old Pueblo Cellars,32,111,727
Tiff's Treats,36,86,219
Bikram Yoga - Mainline,40,75,153
Carlota's Authentic Mexican Cuisine,32,110,946
Alexander's Mobile Waterless Car Wash,34,119,616
Jiffy Lube,43,116,849
"Fred A Nordquist, MD",36,87,216
Bonanza Casino,39,119,1497
Kristi Gayton Photography,39,119,1447
Nails Etc,31,110,832
Styer Orchard Farm Market,40,74,50
Little Brothers Shell,36,86,239
HB Landscaping,39,119,1507
Beauty Is,32,110,870
"Del Pinho, DDS",34,119,39
Party City,39,75,65
O'Reilly Auto Parts,31,110,854
Mimi's Nail Spa,36,86,233
Pin-Up Pastries,32,111,914
Three Oaks and a Pine,30,89,6
So Fresh N So Clean Cuts,32,110,713
Bordertown Casino and RV Resort,39,120,1564
AT&T Store,39,119,1555
Costco Liquor Store,53,113,705
Gamestop,32,111,752
Porsche of Nashville,35,86,242
Chelsea Bistro,36,86,262
Wells Nursery & Greenhouses,39,85,260
Cathedral Peak Hike,34,119,221
ResQcats,34,119,626
Good Buddy Dim Sum Chinese Restaurant,53,113,711
Tucson Mountain Park,32,111,799
Love's Travel Stop,36,86,263
Home Style Donair & Subs,53,113,688
Circle K,32,111,815
Dr. Tavel Family Eye Care,39,85,259
Wendy's,27,82,49
Northwest Auto Glass,32,111,696
Valvoline Instant Oil Change,38,89,182
Bellisimo at Casino del Sol,32,111,769
Rockie Williams Premier Chrysler Dodge Jeep Ram,36,86,202
Travel Leaders Indy,39,85,239
Strano & Associates,38,89,149
Supercuts,43,116,778
Stratton's,36,87,137
Pleasant Thyme Cafe,36,87,200
Jackson Street Bistro,27,82,39
L&L Hawaiian Barbecue,39,119,1487
Arizona Sprinkler Repair,32,111,749
Economy Plumbing Service,32,110,807
Dan's Auto Repair,36,86,270
Ludwig's Grill and Oyster Bar,40,75,196
Encantada Dove Mountain,32,111,796
Pinecrest Country Club,40,75,130
Nova Thrift Shop,40,75,195
Berardi's Auto Detailing,39,75,148
Ashley Farrell Landscape Design,34,119,836
Caughlin Club Kidz,39,119,1451
Pedro's Smog Check,34,119,52
Meterocenter Levee Greenway,36,86,125
Ric's Grill,53,113,721
Sleepy Hollow Haunted Acres,40,74,70
Colossal Cave Mountain Park,32,110,1101
Casa Grande Mexican Restaurant & Cantina,39,119,1580
Gerber Collision & Glass,32,110,821
Inspiration Point,34,119,281
Skyline Kitchen & Vine,39,119,1494
Mike's Automotive,39,119,1509
Browns Socialhouse Salisbury Gate,53,113,735
"Monstrosity Tree Service, LLC",31,111,966
Corner Asian Cafe,35,86,169
Verizon Authorized Retailer - Victra,39,119,1496
Starbucks,35,86,213
Super 8 by Wyndham Waterloo,38,90,208
Precision Wildlife Art,39,119,1583
b ortho,39,119,1400
Pet Agree Fun Lodge & Salon,39,86,277
Catalina Crossing Apartments,32,110,804
Domino's Pizza,36,87,211
Pinewood Social,36,86,118
NORI Japanese Hibachi & Asian Cuisine,35,86,191
Empire Grill,53,113,709
The Spa at El Encanto,34,119,152
Asphalt Services - Paving & Sealcoating,40,74,69
Launderland,34,119,68
Stan Musial Statue,38,90,110
taqueria la coyota #3,30,89,1
Starbucks,31,110,852
Pennridge Animal Hospital,40,75,181
KRH Electrical,32,111,668
Transcend Fitness Club,40,74,115
Rancher's Feed & Supply,39,119,1511
El Rincon Bohemio,34,119,44
Sky Tavern,39,119,2312
Justin's Diamond J RV Park,32,111,745
Pop Tops Soda Pop and Candy Shop,43,116,804
T&T Tree Service,40,74,93
The Factory Hair & Body,53,113,734
Barleypops,36,87,159
Martin Eyecare,35,86,179
Devonwoods,39,119,1410
Yoshi Japanese Restaurant,53,113,724
Vanderbilt Dyer Observatory,36,86,341
Zen Beauty Spa,32,110,710
C and W Pools,36,86,244
Bianchi's Italian,32,111,826
Cool Couriers Santa Barbara Delivery Service,34,119,92
